DATE,CPILFESL,UNRATE,GDPC1,FEDFUNDS,DGS1,DGS10,M2SL,DCOILWTICO,CSUSHPINSA,RSXFS,UMCSENT,PAYEMS,INDPRO,BUSINV,EXUSUK,EXUSEU,SP500,VIXCLS,GS10,PPIACO,HOUST,CPIAUCSL,T10YIE,Inflation_Rate
2015-02-28,240.172,5.5,18666.621,0.11,0.22421052631578947,1.9752631578947368,11880.4,50.58421052631579,166.623,384779.0,95.4,140827.0,102.1366,1795461.0,1.5329,1.135,2110.848,15.90421052631579,1.98,191.1,886.0,235.342,1.7152631578947366,0.15053521314700724
2015-03-31,240.755,5.4,18666.621,0.11,0.25363636363636366,2.0427272727272725,11892.9,47.82363636363636,168.082,390738.0,93.0,140923.0,101.7869,1798476.0,1.4958,1.0819,2079.9904545454547,14.812727272727273,2.04,191.5,960.0,235.976,1.7618181818181817,0.2427427010642358
2015-04-30,241.346,5.4,18782.243,0.12,0.23363636363636361,1.935,11932.5,54.45285714285714,169.96400000000003,391246.0,95.9,141196.0,101.2255,1804475.0,1.4968,1.0822,2094.862857142857,13.494761904761905,1.94,190.9,1190.0,236.222,1.8581818181818184,0.2454777678552844
2015-05-31,241.688,5.6,18782.243,0.12,0.24100000000000002,2.1975000000000002,11963.8,59.265,171.84599999999995,394260.0,90.7,141538.0,100.7675,1809028.0,1.5456,1.1167,2111.9435,13.3385,2.2,193.4,1079.0,237.001,1.8655000000000002,0.14170526961292396
2015-06-30,242.064,5.3,18782.243,0.13,0.27545454545454545,2.3636363636363638,12011.1,59.819545454545455,173.447,394652.0,96.1,141709.0,100.4588,1820330.0,1.5576,1.1226,2099.283636363636,14.339545454545457,2.36,194.8,1205.0,237.657,1.8659090909090907,0.15557247360233895
2015-07-31,242.565,5.2,18857.418,0.13,0.2968181818181818,2.3245454545454547,12061.1,50.90090909090909,174.492,397994.0,93.1,141991.0,101.0893,1820678.0,1.556,1.0997,2094.1436363636367,14.352727272727272,2.32,193.9,1146.0,238.034,1.820909090909091,0.20697005750545117
2015-08-31,242.817,5.1,18857.418,0.14,0.3757142857142857,2.1671428571428573,12110.8,42.86761904761905,174.932,397712.0,91.9,142125.0,100.9165,1823338.0,1.5578,1.1136,2039.8661904761907,19.42809523809524,2.17,191.9,1130.0,238.033,1.6114285714285717,0.10388967905510249
2015-09-30,243.316,5.0,18857.418,0.14,0.37333333333333335,2.172857142857143,12170.3,45.47952380952381,175.03599999999997,395625.0,87.2,142275.0,100.633,1827080.0,1.5338,1.1229,1944.4023809523808,24.377142857142857,2.17,189.1,1224.0,237.498,1.522857142857143,0.20550455692969205
2015-10-31,243.768,5.0,18892.206,0.12,0.26333333333333336,2.07,12211.2,46.22363636363636,175.04,394121.0,90.0,142579.0,100.1563,1829859.0,1.5343,1.1228,2024.8127272727272,16.789545454545454,2.07,187.5,1058.0,237.733,1.4985714285714284,0.18576665735092757
2015-11-30,244.241,5.1,18892.206,0.12,0.4768421052631579,2.263157894736842,12301.0,42.4435,175.129,395827.0,91.3,142808.0,99.4366,1826349.0,1.5194,1.0727,2080.6165,16.21,2.26,185.7,1172.0,238.017,1.5705263157894738,0.19403695316859704
2015-12-31,244.547,5.0,18892.206,0.24,0.6536363636363637,2.2427272727272727,12361.5,37.18863636363636,175.101,396822.0,92.6,143077.0,98.9471,1822793.0,1.4981,1.0889,2054.0795454545455,18.025454545454547,2.24,183.5,1146.0,237.761,1.515,0.1252860903779407
2016-01-31,244.955,4.8,19001.69,0.34,0.5431578947368422,2.0852631578947367,12490.8,31.683157894736844,175.02200000000002,394305.0,92.0,143210.0,99.4391,1822766.0,1.4392,1.0855,1918.5978947368421,23.717894736842105,2.09,182.6,1092.0,237.652,1.42,0.16683909432542166
2016-02-29,245.51,4.9,19001.69,0.38,0.534,1.7795,12557.6,30.323,175.268,397747.0,91.7,143407.0,98.9232,1818023.0,1.429,1.1092,1904.4185000000002,22.517,1.78,181.3,1225.0,237.336,1.3074999999999999,0.22657222755197992
2016-03-31,245.913,5.0,19001.69,0.36,0.6563636363636364,1.8890909090909092,12620.2,37.54636363636364,176.592,396522.0,91.0,143662.0,98.1635,1824047.0,1.4249,1.1134,2021.9540909090908,15.84909090909091,1.89,182.1,1111.0,238.08,1.5518181818181818,0.164148099873751
2016-04-30,246.551,5.1,19062.709,0.37,0.5557142857142857,1.805238095238095,12703.7,40.7552380952381,178.49,397977.0,89.0,143855.0,98.4775,1829532.0,1.4319,1.1346,2075.535238095238,14.300476190476191,1.81,183.2,1163.0,238.992,1.6147619047619048,0.25944134714308564
2016-05-31,247.137,4.8,19062.709,0.37,0.5914285714285714,1.8061904761904761,12775.9,46.712380952380954,180.339,399587.0,94.7,143900.0,98.2549,1834672.0,1.4524,1.1312,2065.5509523809524,14.852857142857141,1.81,185.3,1148.0,239.557,1.5942857142857145,0.2376790197565759
2016-06-30,247.54,4.9,19062.709,0.38,0.5522727272727272,1.6440909090909093,12841.1,48.75727272727273,181.908,404408.0,93.5,144146.0,98.7315,1835501.0,1.4197,1.1232,2083.8913636363636,17.774545454545457,1.64,187.6,1203.0,240.222,1.4700000000000002,0.1630674484192962
2016-07-31,247.829,4.8,19197.938,0.39,0.5135,1.504,12902.2,44.6515,183.008,403560.0,90.0,144520.0,98.8452,1836873.0,1.3134,1.1055,2148.902,13.1585,1.5,187.7,1239.0,240.101,1.4655,0.11674880827341472
2016-08-31,248.423,4.9,19197.938,0.4,0.5682608695652174,1.556521739130435,12988.9,44.72434782608696,183.644,403580.0,89.8,144662.0,98.7427,1836994.0,1.3101,1.1207,2177.4821739130434,12.399565217391304,1.56,186.6,1171.0,240.545,1.4682608695652173,0.23968139321870474
2016-09-30,248.842,5.0,19197.938,0.4,0.5933333333333333,1.6304761904761906,13047.9,45.18238095238095,183.933,405979.0,91.2,144967.0,98.6552,1840016.0,1.314,1.1218,2157.6909523809527,14.21952380952381,1.63,186.9,1068.0,241.176,1.5147619047619048,0.16866393208359032
2016-10-31,249.142,4.9,19304.352,0.4,0.6595000000000001,1.7645,13112.8,49.775238095238095,184.007,407000.0,87.2,145066.0,98.7237,1841542.0,1.233,1.1014,2143.0209523809526,14.585238095238097,1.76,186.7,1313.0,241.741,1.6669999999999998,0.12055842663214467
2016-11-30,249.481,4.7,19304.352,0.41,0.736,2.1420000000000003,13182.4,45.66095238095238,184.219,405846.0,93.8,145183.0,98.3443,1853164.0,1.2432,1.0792,2164.985714285714,15.236190476190476,2.14,186.3,1140.0,242.026,1.8219999999999998,0.13606698188182165
2016-12-31,249.92,4.7,19304.352,0.54,0.8661904761904763,2.491904761904762,13215.3,51.9704761904762,184.391,412437.0,98.2,145408.0,99.0406,1857230.0,1.2483,1.0545,2246.6290476190475,12.472380952380954,2.49,188.2,1252.0,242.637,1.9357142857142857,0.17596530397103738
2017-01-31,250.467,4.7,19398.343,0.65,0.8254999999999999,2.4325,13286.4,52.504,184.644,415660.0,98.5,145628.0,98.8158,1861290.0,1.2367,1.0635,2275.116,11.6085,2.43,190.7,1190.0,243.618,2.0115,0.2188700384122999
2017-02-28,250.998,4.6,19398.343,0.66,0.8205263157894737,2.4189473684210525,13351.2,53.46842105263158,185.011,415563.0,96.3,145848.0,98.4356,1864251.0,1.2495,1.065,2329.9105263157894,11.530526315789475,2.42,191.6,1271.0,244.006,2.0189473684210526,0.21200397657175074
2017-03-31,250.944,4.4,19398.343,0.79,1.0104347826086957,2.4817391304347827,13420.1,49.32782608695652,186.52,414869.0,96.9,145969.0,99.0492,1867559.0,1.2347,1.0691,2366.822173913043,11.89782608695652,2.48,191.5,1190.0,243.892,1.996086956521739,-0.021514115650322907
